eem_id,document,cat_lev1,cat_lev2,eem_name,tags,type,uni_code,uni_code_manual,match
1349,BSYNC,Energy Related Process Improvements,0,Implement training and/or documentation,NA,NA,NA,X0000,0
1350,BSYNC,Energy Related Process Improvements,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,X0000,0
1351,BSYNC,Energy Related Process Improvements,0,Other,NA,NA,NA,X0000,0
1352,BSYNC,Future/Other ECMs,0,Other,NA,NA,NA,X0000,0
1353,BSYNC,Lighting Improvements,0,Retrofit with CFLs,CFL,Descriptor,D5020,D5020,1
1354,BSYNC,Lighting Improvements,0,Retrofit with T-5,T 5,Descriptor,D5020,D5020,1
1355,BSYNC,Lighting Improvements,0,Retrofit with T-8,T 8,Descriptor,D5020,D5020,1
1356,BSYNC,Lighting Improvements,0,Install spectrally enhanced lighting,NA,NA,NA,D5020,0
1357,BSYNC,Lighting Improvements,0,Retrofit with fiber optic lighting technologies,NA,NA,NA,D5020,0
1358,BSYNC,Lighting Improvements,0,Retrofit with light emitting diode technologies,light emitting diode,Descriptor,D5020,D5020,1
1359,BSYNC,Lighting Improvements,0,Add daylight controls,Daylight control,Descriptor,D5020,D5020,1
1359,BSYNC,Lighting Improvements,0,Add daylight controls,controls,Element,D3060,D5020,0
1360,BSYNC,Lighting Improvements,0,Add occupancy sensors,occupancy,Descriptor,D5020,D5020,1
1361,BSYNC,Lighting Improvements,0,Install photocell control,photocell,Descriptor,D5020,D5020,1
1362,BSYNC,Lighting Improvements,0,Install timers,NA,NA,NA,D5020,0
1363,BSYNC,Lighting Improvements,0,Replace diffusers,Diffuser,Descriptor,X0000,D5020,0
1364,BSYNC,Lighting Improvements,0,Upgrade exit signs to LED,LED,Descriptor,D5020,D5020,1
1365,BSYNC,Lighting Improvements,0,Upgrade exterior lighting,NA,NA,NA,D5020,0
1366,BSYNC,Lighting Improvements,0,Clean and/or repair,NA,NA,NA,D5020,0
1367,BSYNC,Lighting Improvements,0,Implement training and/or documentation,NA,NA,NA,D5020,0
1368,BSYNC,Lighting Improvements,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,D5020,0
1369,BSYNC,Lighting Improvements,0,Other,NA,NA,NA,D5020,0
1370,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Add drive controls,controls,Element,D3060,X0000,0
1371,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Replace with higher efficiency,NA,NA,NA,X0000,0
1372,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Add VSD motor controller,VSD,Descriptor,X0000,X0000,1
1372,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Add VSD motor controller,Motor,Descriptor,X0000,X0000,1
1373,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Clean and/or repair,NA,NA,NA,X0000,0
1374,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Implement training and/or documentation,NA,NA,NA,X0000,0
1375,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,X0000,0
1376,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Other,NA,NA,NA,X0000,0
1377,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace or modify AHU,AHU,Element,D3040,D3040,1
1378,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Improve distribution fans,Fan,Element,D3040,D3040,1
1379,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Improve ventilation fans,Fan,Element,D3040,D3040,1
1380,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Convert CV system to VAV system,VAV,Descriptor,D3040,D3040,1
1381,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Repair leaks / seal ducts,Duct,Element,D3040,D3040,1
1382,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add duct insulation,Duct,Element,D3040,D3040,1
1382,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add duct insulation,Insulation,Descriptor,X0000,D3040,0
1383,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Balance ventilation/distribution system,NA,NA,NA,D3040,0
1384,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Repair or replace HVAC damper and controller,Damper,Element,D3040,D3040,1
1385,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace burner,Burner,Element,D3020,D3020,1
1386,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace package units,NA,NA,NA,D3050,0
1387,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace packaged terminal units,Packaged terminal unit,Element,D3050,D3050,1
1387,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace packaged terminal units,Terminal unit,Element,D3040,D3050,0
1388,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install passive solar heating,NA,NA,NA,X0000,0
